Region - Oceania, Subregion - Micronesia, Population - 168783, Area - 549,0, Latlng -  13,46666666 144,78333333
Region - Asia, Subregion - Southern Asia, Population - 164689383, Area - 147570,0, Latlng -  24,0 90,0
Region - Oceania, Subregion - Polynesia, Population - 18100, Area - 236,0, Latlng -  -21,23333333 -159,76666666
Region - Asia, Subregion - Southern Asia, Population - 29136808, Area - 147181,0, Latlng -  28,0 84,0
Region - Europe, Subregion - Western Europe, Population - 39244, Area - 2,02, Latlng -  43,73333333 7,4
Region - Asia, Subregion - Western Asia, Population - 84339067, Area - 783562,0, Latlng -  39,0 35,0
Region - Americas, Subregion - Caribbean, Population - 4255, Area - 21,0, Latlng -  18,5 -63,41666666
Region - Americas, Subregion - Caribbean, Population - 2961161, Area - 10991,0, Latlng -  18,25 -77,5
Region - Europe, Subregion - Southern Europe, Population - 77265, Area - 468,0, Latlng -  42,5 1,5
Region - Africa, Subregion - Northern Africa, Population - 6871287, Area - 1759540,0, Latlng -  25,0 17,0
Region - Europe, Subregion - Northern Europe, Population - 100800, Area - 116,0, Latlng -  49,25 -2,16666666
Region - Europe, Subregion - Southern Europe, Population - 525285, Area - 316,0, Latlng -  35,83333333 14,58333333
Region - Americas, Subregion - South America, Population - 11673029, Area - 1098581,0, Latlng -  -17,0 -65,0
Region - Africa, Subregion - Eastern Africa, Population - 1265740, Area - 2040,0, Latlng -  -20,28333333 57,55
Region - Americas, Subregion - Caribbean, Population - 3194034, Area - 8870,0, Latlng -  18,25 -66,5
Region - Europe, Subregion - Western Europe, Population - 67391582, Area - 551695,0, Latlng -  46,0 2,0
Region - Europe, Subregion - Western Europe, Population - 632275, Area - 2586,0, Latlng -  49,75 6,16666666
Region - Europe, Subregion - Southeast Europe, Population - 1775378, Area - 10908,0, Latlng -  42,666667 21,166667
Region - Africa, Subregion - Eastern Africa, Population - 27691019, Area - 587041,0, Latlng -  -20,0 47,0
Region - Asia, Subregion - Southern Asia, Population - 220892331, Area - 881912,0, Latlng -  30,0 70,0
Region - Africa, Subregion - Eastern Africa, Population - 19129955, Area - 118484,0, Latlng -  -13,5 34,0
Region - Europe, Subregion - Central Europe, Population - 2100126, Area - 20273,0, Latlng -  46,11666666 14,81666666
Region - Africa, Subregion - Southern Africa, Population - 1160164, Area - 17364,0, Latlng -  -26,5 31,5
Region - Americas, Subregion - North America, Population - 329484123, Area - 9372610,0, Latlng -  38,0 -97,0
Region - Oceania, Subregion - Micronesia, Population - 119446, Area - 811,0, Latlng -  1,41666666 173,0
Region - Asia, Subregion - Western Asia, Population - 10110116, Area - 86600,0, Latlng -  40,5 47,5
Region - Africa, Subregion - Eastern Africa, Population - 18383956, Area - 752612,0, Latlng -  -15,0 30,0
Region - Africa, Subregion - Eastern Africa, Population - 53771300, Area - 580367,0, Latlng -  1,0 38,0
Region - Asia, Subregion - Western Asia, Population - 4270563, Area - 17818,0, Latlng -  29,5 45,75
Region - Asia, Subregion - Central Asia, Population - 18754440, Area - 2724900,0, Latlng -  48,0 68,0
Region - Europe, Subregion - Northern Europe, Population - 1901548, Area - 64559,0, Latlng -  57,0 25,0
Region - Africa, Subregion - Western Africa, Population - 7976985, Area - 71740,0, Latlng -  8,5 -11,5
Region - Americas, Subregion - Caribbean, Population - 53192, Area - 261,0, Latlng -  17,33333333 -62,75
Region - Americas, Subregion - Central America, Population - 397621, Area - 22966,0, Latlng -  17,25 -88,75
Region - Americas, Subregion - Caribbean, Population - 378243, Area - 1128,0, Latlng -  14,666667 -61,0
Region - Europe, Subregion - Southeast Europe, Population - 19286123, Area - 238391,0, Latlng -  46,0 25,0
Region - Americas, Subregion - Caribbean, Population - 30237, Area - 151,0, Latlng -  18,431383 -64,62305
Region - Oceania, Subregion - Australia and New Zealand, Population - 5084300, Area - 270467,0, Latlng -  -41,0 174,0
Region - Americas, Subregion - South America, Population - 212559409, Area - 8515767,0, Latlng -  -10,0 -55,0
Region - Africa, Subregion - Middle Africa, Population - 4829764, Area - 622984,0, Latlng -  7,0 21,0
Region - Oceania, Subregion - Micronesia, Population - 59194, Area - 181,0, Latlng -  9,0 168,0
Region - Antarctic, Subregion - , Population - 400, Area - 7747,0, Latlng -  -49,25 69,167
Region - Oceania, Subregion - Polynesia, Population - 11750, Area - 142,0, Latlng -  -13,3 -176,2
Region - Europe, Subregion - Eastern Europe, Population - 144104080, Area - 17098242, Latlng -  60,0 100,0
Region - Americas, Subregion - Central America, Population - 4314768, Area - 75417,0, Latlng -  9,0 -80,0
Region - Asia, Subregion - South-Eastern Asia, Population - 437483, Area - 5765,0, Latlng -  4,5 114,66666666
Region - Europe, Subregion - Southern Europe, Population - 33691, Area - 6,0, Latlng -  36,13333333 -5,35
Region - Asia, Subregion - South-Eastern Asia, Population - 32365998, Area - 330803,0, Latlng -  2,5 112,5
Region - Americas, Subregion - South America, Population - 17643060, Area - 276841,0, Latlng -  -2,0 -77,5
Region - Africa, Subregion - Northern Africa, Population - 36910558, Area - 446550,0, Latlng -  32,0 -5,0
Region - Americas, Subregion - Caribbean, Population - 110947, Area - 389,0, Latlng -  13,25 -61,2
Region - Americas, Subregion - Caribbean, Population - 11326616, Area - 109884,0, Latlng -  21,5 -80,0
Region - Europe, Subregion - Western Europe, Population - 38137, Area - 160,0, Latlng -  47,26666666 9,53333333
Region - Americas, Subregion - Caribbean, Population - 393248, Area - 13943,0, Latlng -  24,25 -76,0
Region - Americas, Subregion - North America, Population - 38005238, Area - 9984670,0, Latlng -  60,0 -95,0
Region - Oceania, Subregion - Melanesia, Population - 896444, Area - 18272,0, Latlng -  -18,0 175,0
Region - Asia, Subregion - Western Asia, Population - 34813867, Area - 2149690,0, Latlng -  25,0 45,0
Region - Americas, Subregion - Caribbean, Population - 65720, Area - 264,0, Latlng -  19,5 -80,5
Region - Europe, Subregion - Northern Europe, Population - 2794700, Area - 65300,0, Latlng -  56,0 24,0
Region - Americas, Subregion - Caribbean, Population - 25987, Area - 328,0, Latlng -  12,18 -68,25
Region - Europe, Subregion - Northern Europe, Population - 4994724, Area - 70273,0, Latlng -  53,0 -8,0
Region - Americas, Subregion - South America, Population - 19116209, Area - 756102,0, Latlng -  -30,0 -71,0
Region - Asia, Subregion - Central Asia, Population - 6031187, Area - 488100,0, Latlng -  40,0 60,0
Region - Asia, Subregion - South-Eastern Asia, Population - 54409794, Area - 676578,0, Latlng -  22,0 98,0
Region - Asia, Subregion - Western Asia, Population - 29825968, Area - 527968,0, Latlng -  15,0 48,0
Region - Africa, Subregion - Western Africa, Population - 53192, Area - 394,0, Latlng -  -15,95 -5,72
Region - Africa, Subregion - Middle Africa, Population - 219161, Area - 964,0, Latlng -  1,0 7,0
